date,age,gender,ads,unique_campaigns,impressions,clicks,spent,total_conversion,approved_conversion,revenue,ctr,conversion_rate,cpc,cpa,roas,segment_level,trend_keyword,search_interest
2017-08-19,30-34,F,12,1,162528,30,41.600000143,19,10,200.0,0.0001845835794447726,0.3333333333333333,1.3866666714333333,4.1600000143,4.807692291165865,age_gender,fashion,100
2017-08-19,30-34,F,12,1,162528,30,41.600000143,19,10,200.0,0.0001845835794447726,0.3333333333333333,1.3866666714333333,4.1600000143,4.807692291165865,age_gender,fitness,90
2017-08-19,30-34,F,12,1,162528,30,41.600000143,19,10,200.0,0.0001845835794447726,0.3333333333333333,1.3866666714333333,4.1600000143,4.807692291165865,age_gender,grocery,96
2017-08-19,30-34,F,12,1,162528,30,41.600000143,19,10,200.0,0.0001845835794447726,0.3333333333333333,1.3866666714333333,4.1600000143,4.807692291165865,age_gender,skin care,84
2017-08-19,30-34,M,9,2,1693328,231,407.700000952,39,11,220.0,0.00013641775249685826,0.047619047619047616,1.764935069056277,37.06363645018182,0.5396124588822393,age_gender,fashion,100
2017-08-19,30-34,M,9,2,1693328,231,407.700000952,39,11,220.0,0.00013641775249685826,0.047619047619047616,1.764935069056277,37.06363645018182,0.5396124588822393,age_gender,fitness,90
2017-08-19,30-34,M,9,2,1693328,231,407.700000952,39,11,220.0,0.00013641775249685826,0.047619047619047616,1.764935069056277,37.06363645018182,0.5396124588822393,age_gender,grocery,96
2017-08-19,30-34,M,9,2,1693328,231,407.700000952,39,11,220.0,0.00013641775249685826,0.047619047619047616,1.764935069056277,37.06363645018182,0.5396124588822393,age_gender,skin care,84
2017-08-19,35-39,F,22,1,4743840,934,1379.929991822,52,14,280.0,0.00019688691018246822,0.014989293361884369,1.4774411047344753,98.5664279872857,0.20290884440470788,age_gender,fashion,100
2017-08-19,35-39,F,22,1,4743840,934,1379.929991822,52,14,280.0,0.00019688691018246822,0.014989293361884369,1.4774411047344753,98.5664279872857,0.20290884440470788,age_gender,fitness,90
2017-08-19,35-39,F,22,1,4743840,934,1379.929991822,52,14,280.0,0.00019688691018246822,0.014989293361884369,1.4774411047344753,98.5664279872857,0.20290884440470788,age_gender,grocery,96
2017-08-19,35-39,F,22,1,4743840,934,1379.929991822,52,14,280.0,0.00019688691018246822,0.014989293361884369,1.4774411047344753,98.5664279872857,0.20290884440470788,age_gender,skin care,84
2017-08-19,40-44,F,16,1,1278912,278,410.180002596,33,11,220.0,0.00021737226642646248,0.039568345323741004,1.47546763523741,37.28909114509091,0.5363498917734547,age_gender,fashion,100
2017-08-19,40-44,F,16,1,1278912,278,410.180002596,33,11,220.0,0.00021737226642646248,0.039568345323741004,1.47546763523741,37.28909114509091,0.5363498917734547,age_gender,fitness,90
2017-08-19,40-44,F,16,1,1278912,278,410.180002596,33,11,220.0,0.00021737226642646248,0.039568345323741004,1.47546763523741,37.28909114509091,0.5363498917734547,age_gender,grocery,96
2017-08-19,40-44,F,16,1,1278912,278,410.180002596,33,11,220.0,0.00021737226642646248,0.039568345323741004,1.47546763523741,37.28909114509091,0.5363498917734547,age_gender,skin care,84
2017-08-19,40-44,M,19,3,3213542,567,862.629999081,27,9,180.0,0.00017644082448587883,0.015873015873015872,1.5213932964391534,95.84777767566668,0.20866420156006907,age_gender,fashion,100
2017-08-19,40-44,M,19,3,3213542,567,862.629999081,27,9,180.0,0.00017644082448587883,0.015873015873015872,1.5213932964391534,95.84777767566668,0.20866420156006907,age_gender,fitness,90
2017-08-19,40-44,M,19,3,3213542,567,862.629999081,27,9,180.0,0.00017644082448587883,0.015873015873015872,1.5213932964391534,95.84777767566668,0.20866420156006907,age_gender,grocery,96
2017-08-19,40-44,M,19,3,3213542,567,862.629999081,27,9,180.0,0.00017644082448587883,0.015873015873015872,1.5213932964391534,95.84777767566668,0.20866420156006907,age_gender,skin care,84
2017-08-19,45-49,F,13,1,5633973,1186,1690.3499917,66,19,380.0,0.00021050864106022518,0.016020236087689713,1.4252529440978077,88.9657890368421,0.22480551475486485,age_gender,fashion,100
