date,ads,unique_campaigns,impressions,clicks,spent,total_conversion,approved_conversion,revenue,ctr,conversion_rate,cpc,cpa,roas,segment_level,trend_keyword,search_interest
2017-08-20,93,2,16246436,2843,4369.090001602,254,84,1680.0,0.0001749922259872873,0.029546253957087584,1.5367886041512486,52.01297620954762,0.3845194306786997,overall,grocery,100
2017-08-20,93,2,16246436,2843,4369.090001602,254,84,1680.0,0.0001749922259872873,0.029546253957087584,1.5367886041512486,52.01297620954762,0.3845194306786997,overall,skin care,79
2017-08-21,102,2,10967797,1909,2854.630000226,199,63,1260.0,0.00017405500849441323,0.03300157150340492,1.4953535883844944,45.311587305174605,0.441388200887767,overall,fashion,79
2017-08-21,102,2,10967797,1909,2854.630000226,199,63,1260.0,0.00017405500849441323,0.03300157150340492,1.4953535883844944,45.311587305174605,0.441388200887767,overall,fitness,86
2017-08-21,102,2,10967797,1909,2854.630000226,199,63,1260.0,0.00017405500849441323,0.03300157150340492,1.4953535883844944,45.311587305174605,0.441388200887767,overall,grocery,69
2017-08-21,102,2,10967797,1909,2854.630000226,199,63,1260.0,0.00017405500849441323,0.03300157150340492,1.4953535883844944,45.311587305174605,0.441388200887767,overall,skin care,85
2017-08-22,96,2,11155133,1644,2510.880004133,256,84,1680.0,0.00014737610031184746,0.051094890510948905,1.527299272586983,29.891428620630954,0.6690881273635773,overall,fashion,92
2017-08-22,96,2,11155133,1644,2510.880004133,256,84,1680.0,0.00014737610031184746,0.051094890510948905,1.527299272586983,29.891428620630954,0.6690881273635773,overall,fitness,100
2017-08-22,96,2,11155133,1644,2510.880004133,256,84,1680.0,0.00014737610031184746,0.051094890510948905,1.527299272586983,29.891428620630954,0.6690881273635773,overall,grocery,69
2017-08-22,96,2,11155133,1644,2510.880004133,256,84,1680.0,0.00014737610031184746,0.051094890510948905,1.527299272586983,29.891428620630954,0.6690881273635773,overall,skin care,97
2017-08-23,109,2,18892899,2692,4408.970000751,351,130,2600.0,0.00014248739698444372,0.048291233283803865,1.637804606519688,33.91515385193077,0.5897068928927006,overall,fashion,89
2017-08-23,109,2,18892899,2692,4408.970000751,351,130,2600.0,0.00014248739698444372,0.048291233283803865,1.637804606519688,33.91515385193077,0.5897068928927006,overall,fitness,95
2017-08-23,109,2,18892899,2692,4408.970000751,351,130,2600.0,0.00014248739698444372,0.048291233283803865,1.637804606519688,33.91515385193077,0.5897068928927006,overall,grocery,67
2017-08-23,109,2,18892899,2692,4408.970000751,351,130,2600.0,0.00014248739698444372,0.048291233283803865,1.637804606519688,33.91515385193077,0.5897068928927006,overall,skin care,96
2017-08-24,74,2,14075359,2954,4453.489989475,195,62,1240.0,0.0002098703130769169,0.02098849018280298,1.5076134019888285,71.83048370120967,0.27843331924636877,overall,fashion,91
2017-08-24,74,2,14075359,2954,4453.489989475,195,62,1240.0,0.0002098703130769169,0.02098849018280298,1.5076134019888285,71.83048370120967,0.27843331924636877,overall,fitness,85
2017-08-24,74,2,14075359,2954,4453.489989475,195,62,1240.0,0.0002098703130769169,0.02098849018280298,1.5076134019888285,71.83048370120967,0.27843331924636877,overall,grocery,68
2017-08-24,74,2,14075359,2954,4453.489989475,195,62,1240.0,0.0002098703130769169,0.02098849018280298,1.5076134019888285,71.83048370120967,0.27843331924636877,overall,skin care,100
2017-08-25,64,3,13777795,2346,3675.230000721,197,80,1600.0,0.0001702739807059112,0.03410059676044331,1.5665942032058824,45.9403750090125,0.43534690337369764,overall,fashion,92
2017-08-25,64,3,13777795,2346,3675.230000721,197,80,1600.0,0.0001702739807059112,0.03410059676044331,1.5665942032058824,45.9403750090125,0.43534690337369764,overall,fitness,86
2017-08-25,64,3,13777795,2346,3675.230000721,197,80,1600.0,0.0001702739807059112,0.03410059676044331,1.5665942032058824,45.9403750090125,0.43534690337369764,overall,grocery,75
2017-08-25,64,3,13777795,2346,3675.230000721,197,80,1600.0,0.0001702739807059112,0.03410059676044331,1.5665942032058824,45.9403750090125,0.43534690337369764,overall,skin care,92
2017-08-26,68,3,15177449,2726,4374.199998401,215,67,1340.0,0.00017960857585487522,0.02457813646368305,1.6046221564200294,65.28656714031344,0.30634173117137775,overall,fashion,100
2017-08-26,68,3,15177449,2726,4374.199998401,215,67,1340.0,0.00017960857585487522,0.02457813646368305,1.6046221564200294,65.28656714031344,0.30634173117137775,overall,fitness,88
2017-08-26,68,3,15177449,2726,4374.199998401,215,67,1340.0,0.00017960857585487522,0.02457813646368305,1.6046221564200294,65.28656714031344,0.30634173117137775,overall,grocery,86
2017-08-26,68,3,15177449,2726,4374.199998401,215,67,1340.0,0.00017960857585487522,0.02457813646368305,1.6046221564200294,65.28656714031344,0.30634173117137775,overall,skin care,81
2017-08-27,64,3,13256611,2803,4213.060010923,178,68,1360.0,0.0002114416723851971,0.02425972172672137,1.503053874749554,61.9567648665147,0.32280575080202817,overall,fashion,92
2017-08-27,64,3,13256611,2803,4213.060010923,178,68,1360.0,0.0002114416723851971,0.02425972172672137,1.503053874749554,61.9567648665147,0.32280575080202817,overall,fitness,79
2017-08-27,64,3,13256611,2803,4213.060010923,178,68,1360.0,0.0002114416723851971,0.02425972172672137,1.503053874749554,61.9567648665147,0.32280575080202817,overall,grocery,88
2017-08-27,64,3,13256611,2803,4213.060010923,178,68,1360.0,0.0002114416723851971,0.02425972172672137,1.503053874749554,61.9567648665147,0.32280575080202817,overall,skin care,80
2017-08-28,69,2,19377609,3493,5343.389995288,257,79,1580.0,0.00018025959755922416,0.02261666189521901,1.5297423404775266,67.63784804162026,0.2956924352130956,overall,fashion,85
2017-08-28,69,2,19377609,3493,5343.389995288,257,79,1580.0,0.00018025959755922416,0.02261666189521901,1.5297423404775266,67.63784804162026,0.2956924352130956,overall,fitness,95
2017-08-28,69,2,19377609,3493,5343.389995288,257,79,1580.0,0.00018025959755922416,0.02261666189521901,1.5297423404775266,67.63784804162026,0.2956924352130956,overall,grocery,77
2017-08-28,69,2,19377609,3493,5343.389995288,257,79,1580.0,0.00018025959755922416,0.02261666189521901,1.5297423404775266,67.63784804162026,0.2956924352130956,overall,skin care,91
2017-08-29,70,3,14965562,2246,3681.87999419,243,70,1400.0,0.00015007789216335478,0.031166518254674976,1.6393054292920748,52.59828563128572,0.38024052989483564,overall,fashion,89
2017-08-29,70,3,14965562,2246,3681.87999419,243,70,1400.0,0.00015007789216335478,0.031166518254674976,1.6393054292920748,52.59828563128572,0.38024052989483564,overall,fitness,97
2017-08-29,70,3,14965562,2246,3681.87999419,243,70,1400.0,0.00015007789216335478,0.031166518254674976,1.6393054292920748,52.59828563128572,0.38024052989483564,overall,grocery,73
2017-08-29,70,3,14965562,2246,3681.87999419,243,70,1400.0,0.00015007789216335478,0.031166518254674976,1.6393054292920748,52.59828563128572,0.38024052989483564,overall,skin care,91
2017-08-30,66,3,17501907,3009,4840.090006237,194,72,1440.0,0.00017192412232564143,0.023928215353938187,1.6085377222455965,67.22347230884722,0.2975151284675281,overall,fashion,89
2017-08-30,66,3,17501907,3009,4840.090006237,194,72,1440.0,0.00017192412232564143,0.023928215353938187,1.6085377222455965,67.22347230884722,0.2975151284675281,overall,fitness,93
2017-08-30,66,3,17501907,3009,4840.090006237,194,72,1440.0,0.00017192412232564143,0.023928215353938187,1.6085377222455965,67.22347230884722,0.2975151284675281,overall,grocery,68
2017-08-30,66,3,17501907,3009,4840.090006237,194,72,1440.0,0.00017192412232564143,0.023928215353938187,1.6085377222455965,67.22347230884722,0.2975151284675281,overall,skin care,98
